ingredient,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g
banyan_tree_figs,72,1.7,11.8,2,8.5
bilimbi,19,0.5,3.5,0.3,1
bread_fruit,71,1.5,15.8,0.2,2.1
bullocks_heart,70,1.4,15.7,0.2,5.2
cape_gooseberry,53,1.8,11.1,0.2,3.2
grapes_blue_variety,58,0.6,13.1,0.4,2.8
grapes_pale_green_variety,71,0.5,16.5,0.3,2.9
grape_fruit_marshs_seedless,45,1,10,0.1,0
grape_fruit_triumph,32,0.7,7,0.1,0
guava_country,51,0.9,11.2,0.3,5.2
guava_hill,38,0.1,9,0.2,4.8
harfarowrie,32,0.7,5.9,0.6,1.1
jamb_safed,19,0.1,3.7,0.4,2.2
korukkapalli,78,2.7,16,0.4,1
lakuch,66,0.7,13.3,1.1,2
lemon,57,1,11.1,0.9,1.7
lemon_sweet,35,0.7,7.3,0.3,0.7
lichies_bastard,61,1.4,13.1,0.3,0.5
lime,59,1.5,10.9,1,1.3
loquat,43,0.6,9.6,0.3,0.8
mahua_ripe,111,1.4,22.7,1.6,0
mulberry,49,1.1,10.3,0.4,1.1
orange_juice,9,0.2,1.9,0.1,0
palmyra_fruit_ripe_mesocarp,87,0.7,20.7,0.2,0.5
palmyra_fruit_tender,29,0.6,6.5,0.1,0.3
passion_fruit,54,0.9,12.4,0.1,9.6
passion_fruit_juice,37,1.2,7.7,0.2,1.2
persimmon,76,0.7,17.9,0.2,0.9
prunes,56,0.5,12.8,0.3,0.5
quince,50,0.3,11.9,0.1,1.7
raspberry,56,1,11.7,0.6,1
